date.time,DO.obs,depth,temp.water
NA,mg L^-1,m,degC
date.time,DO.obs,depth,temp.water
8/30/2012 0:00,7.39,1.5,11.96
8/30/2012 0:05,7.39,1.5,11.94
8/30/2012 0:10,7.38,1.5,11.91
8/30/2012 0:15,7.39,1.5,11.89
8/30/2012 0:20,7.39,1.5,11.86
8/30/2012 0:25,7.41,1.5,11.83
8/30/2012 0:30,7.41,1.5,11.81
8/30/2012 0:35,7.42,1.5,11.79
8/30/2012 0:40,7.42,1.5,11.76
8/30/2012 0:45,7.42,1.5,11.74
8/30/2012 0:50,7.42,1.5,11.72
8/30/2012 0:55,7.43,1.5,11.7
8/30/2012 1:00,7.45,1.5,11.67
8/30/2012 1:05,7.43,1.5,11.65
8/30/2012 1:10,7.45,1.5,11.63
8/30/2012 1:15,7.44,1.5,11.61
8/30/2012 1:20,7.44,1.5,11.59
8/30/2012 1:25,7.45,1.5,11.57
8/30/2012 1:30,7.45,1.5,11.55
8/30/2012 1:35,7.46,1.5,11.53
8/30/2012 1:40,7.46,1.5,11.51
8/30/2012 1:45,7.46,1.5,11.49
8/30/2012 1:50,7.47,1.5,11.47
8/30/2012 1:55,7.49,1.5,11.45
8/30/2012 2:00,7.48,1.5,11.43
8/30/2012 2:05,7.48,1.5,11.4
8/30/2012 2:10,7.48,1.5,11.38
8/30/2012 2:15,7.49,1.5,11.36
8/30/2012 2:20,7.48,1.5,11.34
8/30/2012 2:25,7.5,1.5,11.32
8/30/2012 2:30,7.51,1.5,11.3
8/30/2012 2:35,7.51,1.5,11.27
8/30/2012 2:40,7.51,1.5,11.25
8/30/2012 2:45,7.52,1.5,11.23
8/30/2012 2:50,7.52,1.5,11.21
8/30/2012 2:55,7.52,1.5,11.18
8/30/2012 3:00,7.51,1.5,11.16
8/30/2012 3:05,7.52,1.5,11.14
8/30/2012 3:10,7.54,1.5,11.11
8/30/2012 3:15,7.54,1.5,11.09
8/30/2012 3:20,7.55,1.5,11.06
8/30/2012 3:25,7.54,1.5,11.04
8/30/2012 3:30,7.55,1.5,11.02
8/30/2012 3:35,7.55,1.5,10.99
8/30/2012 3:40,7.57,1.5,10.97
8/30/2012 3:45,7.55,1.5,10.94
8/30/2012 3:50,7.58,1.5,10.92
8/30/2012 3:55,7.56,1.5,10.9
8/30/2012 4:00,7.57,1.5,10.87
8/30/2012 4:05,7.57,1.5,10.85
8/30/2012 4:10,7.6,1.5,10.83
8/30/2012 4:15,7.6,1.5,10.8
8/30/2012 4:20,7.59,1.5,10.78
8/30/2012 4:25,7.59,1.5,10.76
8/30/2012 4:30,7.59,1.5,10.73
8/30/2012 4:35,7.61,1.5,10.71
8/30/2012 4:40,7.62,1.5,10.69
8/30/2012 4:45,7.62,1.5,10.67
8/30/2012 4:50,7.62,1.5,10.65
8/30/2012 4:55,7.62,1.5,10.63
8/30/2012 5:00,7.63,1.5,10.61
8/30/2012 5:05,7.62,1.5,10.59
8/30/2012 5:10,7.63,1.5,10.57
8/30/2012 5:15,7.64,1.5,10.55
8/30/2012 5:20,7.63,1.5,10.53
8/30/2012 5:25,7.65,1.5,10.52
8/30/2012 5:30,7.65,1.5,10.5
8/30/2012 5:35,7.64,1.5,10.48
8/30/2012 5:40,7.65,1.5,10.47
8/30/2012 5:45,7.66,1.5,10.45
8/30/2012 5:50,7.65,1.5,10.43
8/30/2012 5:55,7.66,1.5,10.42
8/30/2012 6:00,7.65,1.5,10.4
8/30/2012 6:05,7.67,1.5,10.39
8/30/2012 6:10,7.67,1.5,10.37
8/30/2012 6:15,7.68,1.5,10.36
8/30/2012 6:20,7.68,1.5,10.34
8/30/2012 6:25,7.68,1.5,10.33
8/30/2012 6:30,7.69,1.5,10.31
8/30/2012 6:35,7.69,1.5,10.3
8/30/2012 6:40,7.7,1.5,10.29
8/30/2012 6:45,7.72,1.5,10.27
8/30/2012 6:50,7.71,1.5,10.26
8/30/2012 6:55,7.73,1.5,10.25
8/30/2012 7:00,7.74,1.5,10.24
8/30/2012 7:05,7.75,1.5,10.23
8/30/2012 7:10,7.76,1.5,10.23
8/30/2012 7:15,7.77,1.5,10.23
8/30/2012 7:20,7.78,1.5,10.23
8/30/2012 7:25,7.81,1.5,10.24
8/30/2012 7:30,7.83,1.5,10.26
8/30/2012 7:35,7.84,1.5,10.27
8/30/2012 7:40,7.84,1.5,10.29
8/30/2012 7:45,7.86,1.5,10.3
8/30/2012 7:50,7.87,1.5,10.32
8/30/2012 7:55,7.87,1.5,10.34
8/30/2012 8:00,7.87,1.5,10.37
