date.time,DO.obs,depth,temp.water
NA,mg L^-1,m,degC
date.time,DO.obs,depth,temp.water
8/23/2012 16:20,7.16,1.5,13.65
8/23/2012 16:25,7.13,1.5,13.61
8/23/2012 16:30,7.06,1.5,13.53
8/23/2012 16:35,7.06,1.5,13.5
8/23/2012 16:40,7.06,1.5,13.49
8/23/2012 16:45,7.09,1.5,13.5
8/23/2012 16:50,7.08,1.5,13.5
8/23/2012 16:55,7.08,1.5,13.48
8/23/2012 17:00,7.09,1.5,13.48
8/23/2012 17:05,7.05,1.5,13.47
8/23/2012 17:10,7.03,1.5,13.45
8/23/2012 17:15,7.01,1.5,13.44
8/23/2012 17:20,7,1.5,13.43
8/23/2012 17:25,6.99,1.5,13.41
8/23/2012 17:30,7.01,1.5,13.39
8/23/2012 17:35,7,1.5,13.37
8/23/2012 17:40,7.03,1.5,13.35
8/23/2012 17:45,7.04,1.5,13.33
8/23/2012 17:50,7.04,1.5,13.31
8/23/2012 17:55,7.03,1.5,13.29
8/23/2012 18:00,7.04,1.5,13.26
8/23/2012 18:05,7.05,1.5,13.25
8/23/2012 18:10,7.08,1.5,13.24
8/23/2012 18:15,7.09,1.5,13.22
8/23/2012 18:20,7.07,1.5,13.19
8/23/2012 18:25,7.07,1.5,13.17
8/23/2012 18:30,7.05,1.5,13.14
8/23/2012 18:35,7.06,1.5,13.12
8/23/2012 18:40,7.06,1.5,13.09
8/23/2012 18:45,7.05,1.5,13.06
8/23/2012 18:50,7.01,1.5,13.03
8/23/2012 18:55,7.01,1.5,13.01
8/23/2012 19:00,7,1.5,12.98
8/23/2012 19:05,6.99,1.5,12.95
8/23/2012 19:10,7,1.5,12.93
8/23/2012 19:15,6.99,1.5,12.9
8/23/2012 19:20,6.98,1.5,12.87
8/23/2012 19:25,6.98,1.5,12.84
8/23/2012 19:30,6.97,1.5,12.82
8/23/2012 19:35,6.99,1.5,12.78
8/23/2012 19:40,6.98,1.5,12.75
8/23/2012 19:45,6.97,1.5,12.72
8/23/2012 19:50,6.98,1.5,12.69
8/23/2012 19:55,6.98,1.5,12.65
8/23/2012 20:00,6.98,1.5,12.62
8/23/2012 20:05,6.99,1.5,12.59
8/23/2012 20:10,6.99,1.5,12.55
8/23/2012 20:15,6.99,1.5,12.51
8/23/2012 20:20,7,1.5,12.48
8/23/2012 20:25,6.99,1.5,12.45
8/23/2012 20:30,7,1.5,12.42
8/23/2012 20:35,7.02,1.5,12.38
8/23/2012 20:40,7.02,1.5,12.35
8/23/2012 20:45,7.04,1.5,12.32
8/23/2012 20:50,7.03,1.5,12.28
8/23/2012 20:55,7.04,1.5,12.25
8/23/2012 21:00,7.05,1.5,12.22
8/23/2012 21:05,7.04,1.5,12.18
8/23/2012 21:10,7.06,1.5,12.15
8/23/2012 21:15,7.07,1.5,12.11
8/23/2012 21:20,7.06,1.5,12.07
8/23/2012 21:25,7.08,1.5,12.04
8/23/2012 21:30,7.08,1.5,12
8/23/2012 21:35,7.09,1.5,11.96
8/23/2012 21:40,7.1,1.5,11.92
8/23/2012 21:45,7.11,1.5,11.88
8/23/2012 21:50,7.1,1.5,11.84
8/23/2012 21:55,7.12,1.5,11.8
8/23/2012 22:00,7.13,1.5,11.76
8/23/2012 22:05,7.13,1.5,11.72
8/23/2012 22:10,7.14,1.5,11.68
8/23/2012 22:15,7.15,1.5,11.65
8/23/2012 22:20,7.17,1.5,11.62
8/23/2012 22:25,7.18,1.5,11.58
8/23/2012 22:30,7.17,1.5,11.55
8/23/2012 22:35,7.17,1.5,11.52
8/23/2012 22:40,7.18,1.5,11.48
8/23/2012 22:45,7.19,1.5,11.44
8/23/2012 22:50,7.2,1.5,11.41
8/23/2012 22:55,7.2,1.5,11.37
8/23/2012 23:00,7.22,1.5,11.33
8/23/2012 23:05,7.23,1.5,11.29
8/23/2012 23:10,7.21,1.5,11.26
8/23/2012 23:15,7.23,1.5,11.22
8/23/2012 23:20,7.23,1.5,11.18
8/23/2012 23:25,7.24,1.5,11.14
8/23/2012 23:30,7.25,1.5,11.1
8/23/2012 23:35,7.26,1.5,11.07
8/23/2012 23:40,7.27,1.5,11.03
8/23/2012 23:45,7.27,1.5,11
8/23/2012 23:50,7.28,1.5,10.97
8/23/2012 23:55,7.28,1.5,10.93
8/24/2012 0:00,7.29,1.5,10.9
8/24/2012 0:05,7.3,1.5,10.87
8/24/2012 0:10,7.29,1.5,10.84
8/24/2012 0:15,7.31,1.5,10.81
8/24/2012 0:20,7.31,1.5,10.78
8/24/2012 0:25,7.33,1.5,10.75
