time,temp,oxy
1414499220,6.662142,8.724778
1414499820,6.62327,8.718088
1414500420,6.584368,8.732131
1414501020,6.545435,8.73238
1414501620,6.496726,8.750011
1414502220,6.467476,8.739843
1414502820,6.42845,8.767857
1414503420,6.379622,8.785623
1414504020,6.340525,8.81382
1414504620,6.311181,8.845533
1414505220,6.291608,8.88079
1414505820,6.291608,8.937198
1414506420,6.291608,9.015354
1414507020,6.311181,9.079632
1414507620,6.340525,9.155166
1414508220,6.369851,9.224051
1414508820,6.408925,9.289726
1414509420,6.457722,9.374394
1414510020,6.506471,9.444917
1414510620,6.584368,9.512097
1414511220,6.662142,9.602711
1414511820,6.759185,9.648207
1414512420,6.885057,9.697891
1414513020,7.020255,9.767491
1414513620,7.164707,9.826217
1414514220,7.327919,9.88576
1414514820,7.490609,9.938194
1414515420,7.662308,9.979507
1414516020,7.833441,9.98952
1414516620,8.004016,10.023961
1414517220,8.155178,10.058639
1414517820,8.305913,10.061559
1414518420,8.456228,10.089009
1414519020,8.596773,10.096416
1414519620,8.727624,10.107918
1414520220,8.848853,10.115363
1414520820,8.96982,10.123033
1414521420,9.081252,10.134693
1414522020,9.183206,10.101508
1414522620,9.275735,10.14539
1414523220,9.368116,10.124289
1414523820,9.441914,10.110769
1414524420,9.51562,10.105464
1414525020,9.561639,10.095078
1414525620,9.570839,10.050879
1414526220,9.616815,10.056741
1414526820,9.635195,10.073674
1414527420,9.690303,10.084035
1414528020,9.717837,10.113637
1414528620,9.736186,10.106269
1414529220,9.727012,10.053143
1414529820,9.699482,10.072248
1414530420,9.662755,10.00614
1414531020,9.598429,9.935484
1414531620,9.487991,9.788892
1414532220,9.368116,9.726079
1414532820,9.247992,9.61767
1414533420,9.099803,9.597863
1414534020,8.941928,9.581993
1414534620,8.802258,9.513647
1414535220,8.662237,9.446141
1414535820,8.503117,9.416531
1414536420,8.36233,9.372766
1414537020,8.249437,9.370877
1414537620,8.155178,9.324809
1414538220,8.060752,9.279118
1414538820,7.966158,9.211809
1414539420,7.871395,9.159694
1414540020,7.766956,9.061065
1414540620,7.681351,9.006621
1414541220,7.595604,8.938433
1414541820,7.500163,8.832251
1414542420,7.414113,8.786515
1414543020,7.327919,8.748049
1414543620,7.270375,8.72025
1414544220,7.212765,8.692584
1414544820,7.164707,8.689106
1414545420,7.126227,8.668477
1414546020,7.087718,8.661623
1414546620,7.058816,8.66507
1414547220,7.029899,8.668529
1414547820,7.000964,8.671998
1414548420,6.972012,8.675478
1414549020,6.952702,8.689263
1414549620,6.923723,8.692765
1414550220,6.894726,8.696278
1414550820,6.865713,8.699802
1414551420,6.856038,8.710169
1414552020,6.836683,8.71023
1414552620,6.807635,8.713779
1414553220,6.788261,8.727659
1414553820,6.768879,8.734648
1414554420,6.759185,8.724321
1414555020,6.739792,8.738228
1414555620,6.710687,8.755672
1414556220,6.691275,8.741913
1414556820,6.662142,8.745522
1414557420,6.632991,8.74222
1414558020,6.613548,8.749254
1414558620,6.584368,8.766759
1414559220,6.574638,8.798103
1414559820,6.555172,8.812167
1414560420,6.545435,8.78785
1414561020,6.535697,8.798355
1414561620,6.516215,8.812428
1414562220,6.506471,8.802039
1414562820,6.506471,8.815984
1414563420,6.496726,8.812565
1414564020,6.496726,8.805592
1414564620,6.506471,8.809009
1414565220,6.496726,8.805592
1414565820,6.496726,8.805592
1414566420,6.496726,8.819543
1414567020,6.496726,8.812565
1414567620,6.496726,8.812565
1414568220,6.486978,8.830091
1414568820,6.496726,8.819543
1414569420,6.486978,8.816123
1414570020,6.477228,8.819684
1414570620,6.457722,8.826814
1414571220,6.447967,8.823396
1414571820,6.438209,8.81998
1414572420,6.42845,8.816567
1414573020,6.42845,8.830535
1414573620,6.418688,8.827119
1414574220,6.408925,8.823705
1414574820,6.389392,8.837845
1414575420,6.369851,8.845009
1414576020,6.360077,8.855601
1414576620,6.350302,8.859191
1414577220,6.330745,8.859366
1414577820,6.330745,8.866381
1414578420,6.320964,8.862962
1414579020,6.320964,8.848944
1414579620,6.311181,8.859546
1414580220,6.311181,8.86656
1414580820,6.311181,8.86656
1414581420,6.311181,8.859546
1414582020,6.301396,8.849126
1414582620,6.301396,8.856132
1414583220,6.291608,8.873764
1414583820,6.272028,8.859918
1414584420,6.272028,8.873952
1414585020,6.262235,8.86352
1414585620,6.25244,8.874145
1414586220,6.242643,8.884784
1414586820,6.223042,8.899058
1414587420,6.213239,8.895639
1414588020,6.203434,8.892222
1414588620,6.203434,8.899262
1414589220,6.203434,8.906308
1414589820,6.203434,8.913359
1414590420,6.193627,8.952345
1414591020,6.203434,8.969971
1414591620,6.213239,9.009001
1414592220,6.232843,9.058854
1414592820,6.242643,9.105488
1414593420,6.272028,9.181211
1414594020,6.311181,9.246512
1414594620,6.350302,9.297575
1414595220,6.408925,9.363625
1414595820,6.467476,9.415279
1414596420,6.555172,9.516034
1414597020,6.632991,9.576208
1414597620,6.720391,9.648329
1414598220,6.81732,9.7482
1414598820,6.923723,9.81416
1414599420,7.068452,9.880851
1414600020,7.231975,9.940536
1414600620,7.385398,9.989026
1414601220,7.557449,10.054356
1414601820,7.719415,10.092284
1414602420,7.918798,10.155675
1414603020,8.079651,10.194971
1414603620,8.249437,10.206402
1414604220,8.4093,10.21397
1414604820,8.55933,10.233992
1414605420,8.70895,10.246183
1414606020,8.848853,10.262573
1414606620,8.997699,10.242486
1414607220,9.146153,10.255671
1414607820,9.275735,10.25202
1414608420,9.405027,10.248611
1414609020,9.524827,10.232699
1414609620,9.626006,10.232715
1414610220,9.699482,10.211098
1414610820,9.782035,10.218788
1414611420,10.111123,9.292995
