time,temp,oxy
1414453080,18.671776,7.584166
1414453620,10.229527,8.61508
1414454220,8.022935,8.931511
1414454820,7.595604,8.952622
1414455420,7.404543,8.909198
1414456020,7.27997,8.814034
1414456620,7.193547,8.775584
1414457220,7.126227,8.779024
1414457820,7.068452,8.744338
1414458420,7.000964,8.713297
1414459020,6.943044,8.720298
1414459620,6.904394,8.720386
1414460220,6.856038,8.710169
1414460820,6.81732,8.710296
1414461420,6.778571,8.717339
1414462020,6.730092,8.720994
1414462620,6.700982,8.724582
1414463220,6.671855,8.742011
1414463820,6.652427,8.735196
1414464420,6.632991,8.74222
1414465020,6.594097,8.749369
1414465620,6.564906,8.766881
1414466220,6.545435,8.767007
1414466820,6.525957,8.767138
1414467420,6.516215,8.770675
1414468020,6.496726,8.784707
1414468620,6.477228,8.791805
1414469220,6.457722,8.798912
1414469820,6.438209,8.80603
1414470420,6.438209,8.80603
1414471020,6.42845,8.809592
1414471620,6.418688,8.799217
1414472220,6.408925,8.816724
1414472820,6.389392,8.823867
1414473420,6.379622,8.820458
1414474020,6.360077,8.82761
1414474620,6.350302,8.824203
1414475220,6.340525,8.820799
1414475820,6.320964,8.827959
1414476420,6.311181,8.817576
1414477020,6.301396,8.83513
1414477620,6.301396,8.842125
1414478220,6.301396,8.828141
1414478820,6.301396,8.83513
1414479420,6.311181,8.831544
1414480020,6.320964,8.834949
1414480620,6.330745,8.838356
1414481220,6.340525,8.820799
1414481820,6.350302,8.810247
1414482420,6.350302,8.831189
1414483020,6.369851,8.803107
1414483620,6.379622,8.81348
1414484220,6.399159,8.799377
1414484820,6.408925,8.809749
1414485420,6.42845,8.788699
1414486020,6.447967,8.788547
1414486620,6.477228,8.784849
1414487220,6.496726,8.770812
1414487820,6.516215,8.763736
1414488420,6.535697,8.763603
1414489020,6.545435,8.760071
1414489620,6.574638,8.763351
1414490220,6.584368,8.739046
1414490820,6.613548,8.728501
1414491420,6.62327,8.738815
1414492020,6.64271,8.731792
1414492620,6.64271,8.731792
1414493220,6.652427,8.721377
1414493820,6.662142,8.724778
1414494420,6.662142,8.731687
1414495020,6.671855,8.714374
1414495620,6.671855,8.735094
1414496220,6.662142,8.717875
1414496820,6.671855,8.700589
1414497420,6.681566,8.717774
1414498020,6.681566,8.724678
1414498620,6.681566,8.717774
